任務領域,詞彙,漢語拼音,詞類
,叉(子),chā(zi),N
,湯匙,tāngchí ,N
,筷子,kuàizi ,N
其他,沒(有),méi(yǒu) ,Ptc
,別,bié ,Adv
,不用,bùyòng ,Adv
,不但,bùdàn ,Conj
,只好,zhǐhǎo ,Adv
,正在,zhèngzài ,Adv
,馬上,mǎshàng ,Adv
,把,bǎ ,Ptc
,被,bèi ,Ptc
,讓,ràng ,Ptc
,或,huò ,Conj
,或是,huòshì ,Conj
,可能 ,kěnéng ,N
,然後,ránhòu ,Adv
,但是,dànshì ,Conj
,而且,érqiě ,Conj
,雖然,suīrán ,Conj
,原來,yuánlái ,Adv
,也許,yěxǔ ,Adv
,為了,wèile ,Prep
,必須,bìxū ,Adv
,永遠,yǒngyuǎn ,Adv
,邊/邊兒,biān/biānr,N
,那麼,nàme,Adv
,這麼,zhème,Adv
,本來,běnlái ,Adv
,要是,yàoshì ,Conj
