詞彙,漢語拼音,詞類
官,guān ,N
官司,guānsī ,N
棺材,guāncái ,N
觀,guàn ,V
觀測,guāncè ,V
觀感,guāngăn ,N
觀光,guānguāng,N
觀看,guānkàn,V
觀摩,guānmó ,V
觀望,guānwàng ,Vi
關稅,guānshuì ,N
關切,guānqiè  ,Vst
關懷,guānhuái ,Vst
關頭,guāntóu ,N
關係,guānxì,Vst
關照,guānzhào ,Vst
管教,guănjiào ,V
管理,guǎnlǐ,N
管線,guănxiàn ,N
管子,guănzi ,N
貫徹,guànchè ,Vst
慣,guàn ,V
灌,guàn ,V
灌溉,guàngài ,V
灌輸,guànshū ,V
光顧,guānggù ,V
光滑,guānghuá ,Vs
光輝,guānghuī ,N
光芒,guāngmáng ,N
規範,guīfàn ,N
規格,guīgé ,N
規矩,guījŭ ,Vs
規則,guīzé ,Vs
歸,guī ,V
歸,guī ,Vst
歸還,guīhuán ,V
歸納,guīnà ,V
軌道,guǐdào ,N
鬼怪,guǐguài ,N
貴,guì,Det
貴賓,guìbīn ,N
棍子,gùnzi ,N
國產,guóchăn ,Vs-attr
國防,guófáng ,N
國境,guójìng ,N
國君,guójūn ,N
國民,guómín,N
國營,guóyíng ,Vs-attr
果斷,guǒduàn ,Vs
果實,guǒshí ,N
果樹,guǒshù,N
果真,guǒzhēn ,Adv
過關,guòguān ,V-sep
過量,guòliàng ,Vs
過敏,guòmǐn ,Vs
過目,guòmù ,Vi
過人,guòrén ,Vs
過失,guòshī ,N
過癮,guòyǐn ,Vs
過重,guòzhòng ,Vs
海拔,hăibá ,N
海面,hăimiàn ,N
海嘯,hǎixiào,N
海運,hăiyùn ,N
害蟲,hàichóng ,N
喊,hăn ,V
行號,hánghào ,N
行列,hángliè ,N
航空信,hángkōngxìn ,N
航行,hángxíng ,Vi
毫不,háobù ,Adv
好比,hăobǐ ,Vst
好手,hăoshǒu ,N
好受,hăoshòu ,Vs
號,hào ,Vst
號子/證券行,hàozi /zhèngquànháng,N
合併,hébìng ,V
合同,hétóng ,N
合意,héyì ,Vs
合約,héyuē ,N
何,hé ,Det
何在,hézài ,Vs
和解,héjiě ,Vi
和睦,hémù ,Vs
和諧,héxié ,Vs
核定,hédìng ,V
核對,héduì ,V
核算,hésuàn ,V
核准,hézhŭn ,V
核子,hézǐ ,N
黑名單,hēimíngdān ,N
黑社會,hēishèhuì ,N
狠,hěn ,Vs
狠心,hěnxīn ,Vs
哼,hēng ,Ptc
哼,hēng ,Vi
橫,héng ,Vi
衡量,héngliáng,V
轟動,hōngdòng ,Vs
轟轟烈烈,hōnghōnglièliè ,Vs
紅利,hónglì ,N
紅燒,hóngshāo ,V
洪水,hóngshuǐ ,N
宏偉,hóngwěi ,Vs
哄,hǒng ,V
後輩,hòubèi,N
後天,hòutiān,Vs-attr
候選人,hòuxuănrén ,N
呼籲,hūyù ,Vi
壺,hú ,M
胡亂,húluàn ,Adv
狐疑,húyí ,Vs
戶口,hùkǒu ,N
互補,hùbŭ ,Vs
互動,hùdòng,N
互惠,hùhuì ,Vs
護,hù ,V
花瓣,huābàn ,N
花朵,huāduǒ ,N
花卉,huāhuì ,N
花紋,huāwén ,N
